姐姐 Freq = 15  TF = 0.0009854158454867955  IDF = 9.200898605038445  TF-IDF = 0.009066711278122237
电影院 Freq = 15  TF = 0.0009854158454867955  IDF = 9.200898605038445  TF-IDF = 0.009066711278122237
影院 Freq = 15  TF = 0.0009854158454867955  IDF = 9.200898605038445  TF-IDF = 0.009066711278122237
捐 Freq = 14  TF = 0.0009197214557876757  IDF = 9.741466986401146  TF-IDF = 0.008959436198240444
防控 Freq = 14  TF = 0.0009197214557876757  IDF = 9.615936104317289  TF-IDF = 0.008843982752623967
湖北省 Freq = 14  TF = 0.0009197214557876757  IDF = 9.500458886897352  TF-IDF = 0.008737775878108194
放 Freq = 14  TF = 0.0009197214557876757  IDF = 9.500458886897352  TF-IDF = 0.008737775878108194
撤 Freq = 14  TF = 0.0009197214557876757  IDF = 9.500458886897352  TF-IDF = 0.008737775878108194
关注 Freq = 14  TF = 0.0009197214557876757  IDF = 9.39354368298084  TF-IDF = 0.008639443671116262
其实 Freq = 14  TF = 0.0009197214557876757  IDF = 9.39354368298084  TF-IDF = 0.008639443671116262
雨 Freq = 14  TF = 0.0009197214557876757  IDF = 9.39354368298084  TF-IDF = 0.008639443671116262
美 Freq = 14  TF = 0.0009197214557876757  IDF = 9.294008009429927  TF-IDF = 0.00854789857653521
新增 Freq = 14  TF = 0.0009197214557876757  IDF = 9.294008009429927  TF-IDF = 0.00854789857653521
